Specimen Type,Lab Test Name,LBTEST,LBTESTCD,Collected Unit,Standard Unit,Standard Conversion Factor,Creation Date,Last Modified Date,Reference Standard Unit
serum,IgG Kappa Paraprotein,#N/A,,mg/L,gm/L,0.001,2018/4/27,,Y
serum,IgG Kappa Paraprotein,#N/A,,gm/L,gm/L,1,2018/4/27,,Y
serum,IgG Lambda Monoclonal Protein,#N/A,,gm/L,gm/L,1,2018/4/27,,Y
serum,IgG Lambda Monoclonal Protein,#N/A,,gm/dL,gm/L,10,2018/4/27,,Y
blood,Immature Neutrophils,Immature Neutrophils,,10[3]/microL,10[9]/L,1,2018/4/27,,Y
blood,Immature Neutrophils,Immature Neutrophils,,10[2]/microL,10[9]/L,0.1,2018/4/27,,Y
blood,Immature Neutrophils,Immature Neutrophils,,/nL,10[9]/L,1,2018/4/27,,Y
blood,Immature Neutrophils,Immature Neutrophils,,/microL,10[9]/L,0.001,2018/4/27,,Y
blood,Immature Neutrophils,Immature Neutrophils,,/mm[3],10[9]/L,0.001,2018/4/27,,Y
blood,Immature Neutrophils,Immature Neutrophils,,10[9]/L,10[9]/L,1,2018/4/27,,Y
blood,Immature Neutrophils,Immature Neutrophils,,10[3]/mL,10[9]/L,0.001,2018/4/27,,Y
blood,Immature Neutrophils,Immature Neutrophils,,10[3]/mm[3],10[9]/L,1,2018/4/27,,Y
blood,Immature Neutrophils/Leukocytes,Immature Neutrophils/Leukocytes,,%,%,1,2018/4/27,,Y
blood,Immature Plasma Cells,Immature Plasma Cells,,10[3]/microL,10[9]/L,1,2018/4/27,,Y
blood,Immature Plasma Cells,Immature Plasma Cells,,10[9]/L,10[9]/L,1,2018/4/27,,Y
blood,Immature Plasma Cells/Lymphocytes,Immature Plasma Cells/Lymphocytes,,%,%,1,2018/4/27,,Y
blood,Immature Platelet Fraction,#N/A,,%,%,1,2018/4/27,,Y
blood,Immature Reticulocyte Fraction,Immature Reticulocyte Fraction,,%,%,1,2018/4/27,,Y
blood,Immunoblastic Lymphocytes,#N/A,,10[9]/L,10[9]/L,1,2018/4/27,,Y
blood,Immunoblastic Lymphocytes,#N/A,,10[3]/microL,10[9]/L,1,2018/4/27,,Y
blood,Immunoblastic Lymphocytes/Lymphocytes,#N/A,,%,%,1,2018/4/27,,Y
plasma,Immunoglobulin A,Immunoglobulin A,,mg/mL,mg/L,1000,2018/4/27,,Y
serum,Immunoglobulin A,Immunoglobulin A,,mg/mL,mg/L,1000,2018/4/27,,Y
plasma,Immunoglobulin A,Immunoglobulin A,,gm/L,mg/L,1000,2018/4/27,,Y
plasma,Immunoglobulin A,Immunoglobulin A,,mg/dL,mg/L,10,2018/4/27,,Y
serum,Immunoglobulin A,Immunoglobulin A,,mg/L,mg/L,1,2018/4/27,,Y
serum,Immunoglobulin A,Immunoglobulin A,,mg/dL,mg/L,10,2018/4/27,,Y
serum,Immunoglobulin A,Immunoglobulin A,,gm/L,mg/L,1000,2018/4/27,,Y
plasma,Immunoglobulin A,Immunoglobulin A,,mg/L,mg/L,1,2018/4/27,,Y
plasma,Immunoglobulin D,Immunoglobulin D,,mg/L,mg/L,1,2018/4/27,,Y
serum,Immunoglobulin D,Immunoglobulin D,,mg/L,mg/L,1,2018/4/27,,Y
plasma,Immunoglobulin D,Immunoglobulin D,,mg/dL,mg/L,10,2018/4/27,,Y
serum,Immunoglobulin D,Immunoglobulin D,,gm/L,mg/L,1000,2018/4/27,,Y
serum,Immunoglobulin D,Immunoglobulin D,,mg/dL,mg/L,10,2018/4/27,,Y
plasma,Immunoglobulin E,Immunoglobulin E,,IU/mL,kIU/L,1,2018/4/27,,Y
plasma,Immunoglobulin E,Immunoglobulin E,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Immunoglobulin E,Immunoglobulin E,,ng/mL,kIU/L,0.4167,2018/4/27,,Y
serum,Immunoglobulin E,Immunoglobulin E,,microgm/L,kIU/L,0.4167,2018/4/27,,Y
serum,Immunoglobulin E,Immunoglobulin E,,kIU/L,kIU/L,1,2018/4/27,,Y
plasma,Immunoglobulin E,Immunoglobulin E,,ng/mL,kIU/L,0.4167,2018/4/27,,Y
serum,Immunoglobulin E,Immunoglobulin E,,IU/mL,kIU/L,1,2018/4/27,,Y
serum,Immunoglobulin E,Immunoglobulin E,,IU/L,kIU/L,0.001,2018/4/27,,Y
plasma,Immunoglobulin E,Immunoglobulin E,,IU/L,kIU/L,0.001,2018/4/27,,Y
plasma,Immunoglobulin E,Immunoglobulin E,,microgm/L,kIU/L,0.4167,2018/4/27,,Y
plasma,Immunoglobulin G,Immunoglobulin G,,mg/dL,gm/L,0.01,2018/4/27,,Y
plasma,Immunoglobulin G,Immunoglobulin G,,gm/L,gm/L,1,2018/4/27,,Y
serum,Immunoglobulin G,Immunoglobulin G,,mg/dL,gm/L,0.01,2018/4/27,,Y
serum,Immunoglobulin G,Immunoglobulin G,,gm/L,gm/L,1,2018/4/27,,Y
serum,Immunoglobulin G Index,#N/A,,,,,2018/4/27,,
serum,Immunoglobulin G Subclass 1,Immunoglobulin G Subclass 1,,mg/dL,mg/dL,1,2018/4/27,,Y
serum,Immunoglobulin G Subclass 2,Immunoglobulin G Subclass 2,,mg/dL,mg/dL,1,2018/4/27,,Y
serum,Immunoglobulin G Subclass 3,Immunoglobulin G Subclass 3,,mg/dL,mg/dL,1,2018/4/27,,Y
serum,Immunoglobulin G Subclass 4,Immunoglobulin G Subclass 4,,mg/dL,mg/dL,1,2018/4/27,,Y
plasma,Immunoglobulin M,Immunoglobulin M,,mg/mL,mg/L,1000,2018/4/27,,Y
plasma,Immunoglobulin M,Immunoglobulin M,,mg/dL,mg/L,10,2018/4/27,,Y
plasma,Immunoglobulin M,Immunoglobulin M,,gm/L,mg/L,1000,2018/4/27,,Y
plasma,Immunoglobulin M,Immunoglobulin M,,mg/L,mg/L,1,2018/4/27,,Y
serum,Immunoglobulin M,Immunoglobulin M,,gm/L,mg/L,1000,2018/4/27,,Y
serum,Immunoglobulin M,Immunoglobulin M,,mg/dL,mg/L,10,2018/4/27,,Y
serum,Immunoglobulin M,Immunoglobulin M,,mg/L,mg/L,1,2018/4/27,,Y
serum,Immunoglobulin M,Immunoglobulin M,,mg/mL,mg/L,1000,2018/4/27,,Y
serum,Immunoreactive Proinsulin,#N/A,,ng/mL,pmol/L,106,2018/4/27,,Y
serum,Immunoreactive Proinsulin,#N/A,,pmol/L,pmol/L,1,2018/4/27,,Y
plasma,Immunoreactive Proinsulin,#N/A,,pmol/L,pmol/L,1,2018/4/27,,Y
plasma,Immunoreactive Proinsulin,#N/A,,ng/mL,pmol/L,106,2018/4/27,,Y
plasma,Indirect Bilirubin,Indirect Bilirubin,,micromol/L,micromol/L,1,2018/4/27,,Y
blood,Indirect Bilirubin,Indirect Bilirubin,,mg/L,micromol/L,1.71,2018/4/27,,Y
serum,Indirect Bilirubin,Indirect Bilirubin,,mg/dL,micromol/L,17.1,2018/4/27,,Y
plasma,Indirect Bilirubin,Indirect Bilirubin,,mg/dL,micromol/L,17.1,2018/4/27,,Y
plasma,Indirect Bilirubin,Indirect Bilirubin,,mmol/L,micromol/L,1000,2018/4/27,,Y
serum,Indirect Bilirubin,Indirect Bilirubin,,mg/L,micromol/L,1.71,2018/4/27,,Y
blood,Indirect Bilirubin,Indirect Bilirubin,,mmol/L,micromol/L,1000,2018/4/27,,Y
plasma,Indirect Bilirubin,Indirect Bilirubin,,mg%,micromol/L,17.1,2018/4/27,,Y
plasma,Indirect Bilirubin,Indirect Bilirubin,,gm/dL,micromol/L,17100,2018/4/27,,Y
blood,Indirect Bilirubin,Indirect Bilirubin,,micromol/L,micromol/L,1,2018/4/27,,Y
serum,Indirect Bilirubin,Indirect Bilirubin,,mmol/L,micromol/L,1000,2018/4/27,,Y
serum,Indirect Bilirubin,Indirect Bilirubin,,gm/dL,micromol/L,17100,2018/4/27,,Y
plasma,Indirect Bilirubin,Indirect Bilirubin,,mg/L,micromol/L,1.71,2018/4/27,,Y
blood,Indirect Bilirubin,Indirect Bilirubin,,mg/dL,micromol/L,17.1,2018/4/27,,Y
serum,Indirect Bilirubin,Indirect Bilirubin,,micromol/L,micromol/L,1,2018/4/27,,Y
serum,Indirect Bilirubin,Indirect Bilirubin,,mg%,micromol/L,17.1,2018/4/27,,Y
serum,Influenza A Virus M2 Protein Antibody,#N/A,,U/mL,U/mL,1,2018/4/27,,N
serum,Influenza A Virus M2 Protein Antibody,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Influenza A/California/7/2009 (H1NI) Ab,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Influenza A/New Caledonia Virus HAI Ab,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Influenza A/Switzerland/9715293/2013 Ab,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Influenza A2/Wisconsin Virus HAI Ab,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Influenza B/Brisbane/60/2008 Ab,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Influenza B/HA0 Protein Antibody,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Influenza B/HA0 Protein Antibody,#N/A,,U/mL,U/mL,1,2018/4/27,,N
serum,Influenza B/Malaysia Virus HAI Ab,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Influenza B/Phuket/3073/2013 Ab,#N/A,,titer (:),titer (:),1,2018/4/27,,N
serum,Inhibin B,Inhibin B,,pg/mL,ng/L,1,2018/4/27,,Y
plasma,Insulin,INSULIN,,microIU/mL,pmol/L,6.945,2018/4/27,,Y
plasma,Insulin,INSULIN,,pmol/L,pmol/L,1,2018/4/27,,Y
serum,Insulin,INSULIN,,pmol/L,pmol/L,1,2018/4/27,,Y
serum,Insulin,INSULIN,,mIU/L,pmol/L,6.945,2018/4/27,,Y
plasma,Insulin,INSULIN,,mIU/L,pmol/L,6.945,2018/4/27,,Y
serum,Insulin,INSULIN,,microIU/mL,pmol/L,6.945,2018/4/27,,Y
serum,Insulin Antibodies,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Insulin-Like Growth Factor I,#N/A,,ng/mL,microgm/L,1,2018/4/27,,Y
plasma,Insulin-Like Growth Factor I,#N/A,,ng/mL,microgm/L,1,2018/4/27,,Y
serum,Insulin-Like Growth Factor I,#N/A,,microgm/L,microgm/L,1,2018/4/27,,Y
plasma,Intercellular Adhesion Molecule-1,#N/A,,ng/mL,ng/mL,1,2018/4/27,,N
serum,Intercellular Adhesion Molecule-1,#N/A,,ng/mL,ng/mL,1,2018/4/27,,N
serum,Interferon Alpha,Interferon Alpha,,pg/mL,pg/mL,1,2018/4/27,,Y
blood,Interferon-Gamma,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
serum,Interferon-Gamma,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
plasma,Interferon-Gamma,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
serum,Interleukin 2 Receptor,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
plasma,Interleukin 2 Receptor,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
plasma,Interleukin-1 Alpha,#N/A,,pg/mL,ng/mL,0.001,2018/4/27,,Y
serum,Interleukin-1 Alpha,#N/A,,pg/mL,ng/mL,0.001,2018/4/27,,Y
plasma,Interleukin-1 Alpha,#N/A,,ng/mL,ng/mL,1,2018/4/27,,Y
serum,Interleukin-1 Alpha,#N/A,,ng/mL,ng/mL,1,2018/4/27,,Y
serum,Interleukin-1 Beta,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
plasma,Interleukin-1 Beta,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
plasma,Interleukin-1 Receptor Antagonist,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
serum,Interleukin-1 Receptor Antagonist,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
plasma,Interleukin-10,#N/A,,pg/mL,pg/mL,1,2018/4/27,,N
serum,Interleukin-10,#N/A,,pg/mL,pg/mL,1,2018/4/27,,N
serum,Interleukin-12 p40,#N/A,,pg/mL,ng/mL,0.001,2018/4/27,,Y
plasma,Interleukin-12 p40,#N/A,,ng/mL,ng/mL,1,2018/4/27,,Y
serum,Interleukin-12 p40,#N/A,,ng/mL,ng/mL,1,2018/4/27,,Y
serum,Interleukin-12 p70,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
plasma,Interleukin-12 p70,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
plasma,Interleukin-13,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
serum,Interleukin-13,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
serum,Interleukin-15,#N/A,,ng/mL,ng/mL,1,2018/4/27,,Y
serum,Interleukin-15,#N/A,,pg/mL,ng/mL,0.001,2018/4/27,,Y
plasma,Interleukin-15,#N/A,,ng/mL,ng/mL,1,2018/4/27,,Y
plasma,Interleukin-16,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
serum,Interleukin-16,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
plasma,Interleukin-17,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
serum,Interleukin-17,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
serum,Interleukin-18,#N/A,,pg/mL,pg/mL,1,2018/4/27,,N
plasma,Interleukin-18,#N/A,,pg/mL,pg/mL,1,2018/4/27,,N
plasma,Interleukin-2,#N/A,,pg/mL,pg/mL,1,2018/4/27,,N
serum,Interleukin-2,#N/A,,pg/mL,pg/mL,1,2018/4/27,,N
plasma,Interleukin-3,#N/A,,ng/mL,ng/mL,1,2018/4/27,,Y
serum,Interleukin-3,#N/A,,ng/mL,ng/mL,1,2018/4/27,,Y
serum,Interleukin-3,#N/A,,pg/mL,ng/mL,0.001,2018/4/27,,Y
serum,Interleukin-4,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
plasma,Interleukin-4,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
plasma,Interleukin-5,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
serum,Interleukin-5,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
plasma,Interleukin-6,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
serum,Interleukin-6,#N/A,,pg/mL,pg/mL,1,2018/4/27,,N
plasma,Interleukin-7,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
serum,Interleukin-7,#N/A,,pg/mL,pg/mL,1,2018/4/27,,Y
plasma,Interleukin-8,#N/A,,pg/mL,pg/mL,1,2018/4/27,,N
serum,Interleukin-8,#N/A,,pg/mL,pg/mL,1,2018/4/27,,N
serum,Intestinal Alkaline Phosphatase/ALP,#N/A,,%,%,1,2018/4/27,,Y
serum,Intrinsic Factor Antibodies,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
plasma,Intrinsic Factor Antibodies,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Ionized Calcium,#N/A,,mg/dL,mmol/L,0.25,2018/4/27,,Y
serum,Ionized Calcium,#N/A,,mmol/L,mmol/L,1,2018/4/27,,Y
blood,Ionized Calcium,#N/A,,mEq/L,mmol/L,0.5,2018/4/27,,Y
plasma,Ionized Calcium,#N/A,,mEq/L,mmol/L,0.5,2018/4/27,,Y
blood,Ionized Calcium,#N/A,,mg%,mmol/L,0.25,2018/4/27,,Y
blood,Ionized Calcium,#N/A,,mg/dL,mmol/L,0.25,2018/4/27,,Y
plasma,Ionized Calcium,#N/A,,mmol/L,mmol/L,1,2018/4/27,,Y
plasma,Ionized Calcium,#N/A,,mg%,mmol/L,0.25,2018/4/27,,Y
serum,Ionized Calcium,#N/A,,mg/L,mmol/L,0.025,2018/4/27,,Y
blood,Ionized Calcium,#N/A,,mg/L,mmol/L,0.025,2018/4/27,,Y
blood,Ionized Calcium,#N/A,,mmol/L,mmol/L,1,2018/4/27,,Y
serum,Ionized Calcium,#N/A,,mg%,mmol/L,0.25,2018/4/27,,Y
serum,Ionized Calcium,#N/A,,mEq/L,mmol/L,0.5,2018/4/27,,Y
plasma,Ionized Calcium,#N/A,,mg/L,mmol/L,0.025,2018/4/27,,Y
plasma,Ionized Calcium,#N/A,,mg/dL,mmol/L,0.25,2018/4/27,,Y
blood,Ionized Calcium Normalized,#N/A,,mmol/L,mmol/L,1,2018/4/27,,Y
serum,Ionized Calcium Normalized,#N/A,,mg/dL,mmol/L,0.25,2018/4/27,,Y
blood,Ionized Magnesium,#N/A,,mg/dL,mmol/L,0.4114,2018/4/27,,Y
serum,Ionized Magnesium,#N/A,,mmol/L,mmol/L,1,2018/4/27,,Y
serum,Ionized Magnesium,#N/A,,mg/dL,mmol/L,0.4114,2018/4/27,,Y
serum,Ionized Magnesium,#N/A,,mEq/L,mmol/L,0.5,2018/4/27,,Y
plasma,Iron,IRON,,microgm/dL,micromol/L,0.179,2018/4/27,,Y
serum,Iron,IRON,,microgm/dL,micromol/L,0.179,2018/4/27,,Y
serum,Iron,IRON,,micromol/L,micromol/L,1,2018/4/27,,Y
plasma,Iron,IRON,,micromol/L,micromol/L,1,2018/4/27,,Y
blood,Islet Cell Antibodies,#N/A,,U/mL,IU/mL,1,2018/4/27,,Y
blood,Islet Cell Antibodies,#N/A,,IU/mL,IU/mL,1,2018/4/27,,Y
serum,Islet Cell Antibodies,#N/A,,IU/mL,IU/mL,1,2018/4/27,,Y
serum,Islet Cell Antibodies,#N/A,,U/mL,IU/mL,1,2018/4/27,,Y
serum,Japanese Alder Tree Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Japanese Cedar Tree Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Japanese Cypress Tree Allergen,#N/A,,IU/mL,kIU/L,1,2018/4/27,,Y
serum,Japanese Cypress Tree Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Jo-1 Antigen Antibody,#N/A,,U/mL,U/mL,1,2018/4/27,,Y
serum,Jo-1 Antigen Antibody,#N/A,,IU/mL,U/mL,1,2018/4/27,,Y
serum,Johnson Grass Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Johnson Grass IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,N
serum,June Grass Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Juniper Tree Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
blood,K Time,#N/A,,min,min,1,2018/4/27,,Y
serum,Kappa Free Light Chains,#N/A,,mg%,mg/L,10,2018/4/27,,Y
serum,Kappa Free Light Chains,#N/A,,mg/dL,mg/L,10,2018/4/27,,Y
serum,Kappa Free Light Chains,#N/A,,mg/L,mg/L,1,2018/4/27,,Y
serum,Kappa/Lambda Free Light Chain Ratio,#N/A,,,,,2018/4/27,,
serum,Kentucky Blue Grass Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Kentucky Blue Grass IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,N
serum,Keppra,#N/A,,microgm/mL,microgm/mL,1,2018/4/27,,Y
plasma,Kisspeptin,#N/A,,pM,pM,1,2018/4/27,,Y
serum,Kiwi f84 Allergen Sp IgE,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Kochia Weed Allergen,#N/A,,kIU/L,kIU/L,1,2018/4/27,,Y
serum,Krebs Von Den Lunge-6,#N/A,,IU/L,U/mL,0.001,2018/4/27,,Y
serum,Krebs Von Den Lunge-6,#N/A,,U/mL,U/mL,1,2018/4/27,,N
serum,Krebs Von Den Lunge-6,#N/A,,IU/mL,U/mL,1,2018/4/27,,Y
blood,LAG3 on CD16+CD56+CD7+CD3-CD34-,#N/A,,MESF,MESF,1,2018/4/27,,N
blood,LAG3 on CD34-CD3+CD4+CD8-,#N/A,,MESF,MESF,1,2018/4/27,,N
blood,LAG3 on CD34-CD3+CD4-CD8+,#N/A,,MESF,MESF,1,2018/4/27,,N
blood,LAG3+/CD16+CD56+CD7+CD3-CD34-,#N/A,,%,%,1,2018/4/27,,N
blood,LAG3+/CD34-CD3+CD4+CD8-,#N/A,,%,%,1,2018/4/27,,N
blood,LAG3+/CD34-CD3+CD4-CD8+,#N/A,,%,%,1,2018/4/27,,N
plasma,LDH Isoenzyme 1/LDH,LDH Isoenzyme 1/LDH,,%,%,1,2018/4/27,,Y
serum,LDH Isoenzyme 1/LDH,LDH Isoenzyme 1/LDH,,%,%,1,2018/4/27,,Y
plasma,LDL 1 Cholesterol - DGC,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,N
plasma,LDL 2 Cholesterol - DGC,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,N
plasma,LDL 3 Cholesterol - DGC,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,N
plasma,LDL 4 Cholesterol - DGC,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,N
serum,LDL Cholesterol,LDL Cholesterol,,mmol/L,mmol/L,1,2018/4/27,,Y
blood,LDL Cholesterol,LDL Cholesterol,,mg%,mmol/L,0.0259,2018/4/27,,Y
serum,LDL Cholesterol,LDL Cholesterol,,mg%,mmol/L,0.0259,2018/4/27,,Y
plasma,LDL Cholesterol,LDL Cholesterol,,mmol/L,mmol/L,1,2018/4/27,,Y
blood,LDL Cholesterol,LDL Cholesterol,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
blood,LDL Cholesterol,LDL Cholesterol,,mmol/L,mmol/L,1,2018/4/27,,Y
plasma,LDL Cholesterol,LDL Cholesterol,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
serum,LDL Cholesterol,LDL Cholesterol,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
plasma,LDL Cholesterol,LDL Cholesterol,,mg%,mmol/L,0.0259,2018/4/27,,Y
serum,LDL Cholesterol - DGC,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
plasma,LDL Cholesterol - DGC,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
serum,LDL Cholesterol Beta Quantification,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
plasma,LDL Cholesterol Beta Quantification,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,Y
plasma,LDL Cholesterol Beta Quantification,#N/A,,mmol/L,mmol/L,1,2018/4/27,,Y
serum,LDL Cholesterol Peak 1 Particle SGGE,#N/A,,A.,A.,1,2018/4/27,,N
plasma,LDL Cholesterol Peak 1 Particle SGGE,#N/A,,A.,A.,1,2018/4/27,,N
plasma,LDL Cholesterol Peak 2 Particle SGGE,#N/A,,A.,A.,1,2018/4/27,,N
serum,LDL Cholesterol Peak 2 Particle SGGE,#N/A,,A.,A.,1,2018/4/27,,N
plasma,LDL Cholesterol Subclass I SGGE,#N/A,,%,%,1,2018/4/27,,N
serum,LDL Cholesterol Subclass I SGGE,#N/A,,%,%,1,2018/4/27,,N
plasma,LDL Cholesterol Subclass IIIa SGGE,#N/A,,%,%,1,2018/4/27,,N
serum,LDL Cholesterol Subclass IIIa SGGE,#N/A,,%,%,1,2018/4/27,,N
plasma,LDL Cholesterol Subclass IIIa+IIIb SGGE,#N/A,,%,%,1,2018/4/27,,N
serum,LDL Cholesterol Subclass IIIa+IIIb SGGE,#N/A,,%,%,1,2018/4/27,,N
plasma,LDL Cholesterol Subclass IIIb SGGE,#N/A,,%,%,1,2018/4/27,,N
serum,LDL Cholesterol Subclass IIIb SGGE,#N/A,,%,%,1,2018/4/27,,N
plasma,LDL Cholesterol Subclass IIa SGGE,#N/A,,%,%,1,2018/4/27,,N
serum,LDL Cholesterol Subclass IIa SGGE,#N/A,,%,%,1,2018/4/27,,N
plasma,LDL Cholesterol Subclass IIb SGGE,#N/A,,%,%,1,2018/4/27,,N
serum,LDL Cholesterol Subclass IIb SGGE,#N/A,,%,%,1,2018/4/27,,N
serum,LDL Cholesterol Subclass IVa SGGE,#N/A,,%,%,1,2018/4/27,,N
plasma,LDL Cholesterol Subclass IVa SGGE,#N/A,,%,%,1,2018/4/27,,N
plasma,LDL Cholesterol Subclass IVb SGGE,#N/A,,%,%,1,2018/4/27,,N
serum,LDL Cholesterol Subclass IVb SGGE,#N/A,,%,%,1,2018/4/27,,N
serum,LDL Cholesterol/HDL Cholesterol Ratio,#N/A,,,,,2018/4/27,,
plasma,LDL Cholesterol/HDL Cholesterol Ratio,#N/A,,,,,2018/4/27,,
serum,LDL Cholesteryl Ester,#N/A,,mmol/L,mmol/L,1,2018/4/27,,Y
serum,LDL I Large Particle (231 to 254 A) IM,#N/A,,nmol/L,nmol/L,1,2018/4/27,,N
serum,LDL II Medium Particle (219-230.99 A) IM,#N/A,,nmol/L,nmol/L,1,2018/4/27,,N
serum,LDL III Small Particle (207-218.99 A) IM,#N/A,,nmol/L,nmol/L,1,2018/4/27,,N
serum,LDL IV Small Particle (190-206.99 A) IM,#N/A,,nmol/L,nmol/L,1,2018/4/27,,N
plasma,LDL Large Particle (21.2 to 23 nm) NMR,#N/A,,nmol/L,nmol/L,1,2018/4/27,,Y
plasma,LDL Mean Particle Size NMR,#N/A,,nm,nm,1,2018/4/27,,Y
plasma,LDL Medium Small Particle NMR,#N/A,,nmol/L,nmol/L,1,2018/4/27,,Y
serum,LDL Particle Size IM,#N/A,,A.,A.,1,2018/4/27,,N
plasma,LDL R Cholesterol - DGC,#N/A,,mg/dL,mmol/L,0.0259,2018/4/27,,N
plasma,LDL R Cholesterol Peak Maximum - DGC,#N/A,,sec,sec,1,2018/4/27,,N
serum,LDL Total Particle IM,#N/A,,nmol/L,nmol/L,1,2018/4/27,,N
plasma,LDL Total Particle NMR,#N/A,,nmol/L,nmol/L,1,2018/4/27,,Y
plasma,LDL Total Small Particle NMR,#N/A,,nmol/L,nmol/L,1,2018/4/27,,Y
serum,LDL Triglycerides,#N/A,,mg/dL,mmol/L,0.0113,2018/4/27,,N
plasma,LDL Triglycerides,#N/A,,mg/dL,mmol/L,0.0113,2018/4/27,,Y
plasma,LDL Very Small Particle NMR,#N/A,,nmol/L,nmol/L,1,2018/4/27,,Y
plasma,Lactate Dehydrogenase,Lactate Dehydrogenase,,IU/L,microkat/L,0.0167,2018/4/27,,Y
plasma,Lactate Dehydrogenase,Lactate Dehydrogenase,,microkat/L,microkat/L,1,2018/4/27,,Y
blood,Lactate Dehydrogenase,Lactate Dehydrogenase,,IU/L,microkat/L,0.0167,2018/4/27,,Y
plasma,Lactate Dehydrogenase,Lactate Dehydrogenase,,micromol/L/sec,microkat/L,1,2018/4/27,,Y
serum,Lactate Dehydrogenase,Lactate Dehydrogenase,,IU/L,microkat/L,0.0167,2018/4/27,,Y
blood,Lactate Dehydrogenase,Lactate Dehydrogenase,,IU/dL,microkat/L,0.1667,2018/4/27,,Y
plasma,Lactate Dehydrogenase,Lactate Dehydrogenase,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
blood,Lactate Dehydrogenase,Lactate Dehydrogenase,,microkat/L,microkat/L,1,2018/4/27,,Y
serum,Lactate Dehydrogenase,Lactate Dehydrogenase,,IU/dL,microkat/L,0.1667,2018/4/27,,Y
serum,Lactate Dehydrogenase,Lactate Dehydrogenase,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
serum,Lactate Dehydrogenase,Lactate Dehydrogenase,,microkat/L,microkat/L,1,2018/4/27,,Y
blood,Lactate Dehydrogenase,Lactate Dehydrogenase,,mIU/mL,microkat/L,0.0167,2018/4/27,,Y
plasma,Lactate Dehydrogenase,Lactate Dehydrogenase,,IU/dL,microkat/L,0.1667,2018/4/27,,Y
serum,Lactate Dehydrogenase,Lactate Dehydrogenase,,micromol/L/sec,microkat/L,1,2018/4/27,,Y
